Sl. No,HHID,Environment,Use,Access,Capacity,Resource,wpi_add,wpi_pca,Statename
41,67776209,0.266,0.466,0.595,0.165,0.564,0.4112,0.4014,Jammu & Kashmir
42,67776209,0.266,0.466,0.595,0.165,0.564,0.4112,0.4014,Jammu & Kashmir
43,67776209,0.266,0.466,0.595,0.665,0.564,0.5112,0.5014,Jammu & Kashmir
44,67776209,0.266,0.466,0.595,0.495,0.564,0.4772,0.4674,Jammu & Kashmir
48,67776209,0.266,0.466,0.595,0.665,0.564,0.5112,0.5014,Jammu & Kashmir
49,67776209,0.266,0.466,0.595,0.495,0.564,0.4772,0.4674,Jammu & Kashmir
332,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
333,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
334,67779201,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
335,67779201,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
336,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
377,67770101,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
378,67770101,0.866,0.8,0.595,0.495,0.298,0.6108,0.661,Jammu & Kashmir
379,67770102,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
380,67770102,0.866,0.8,0.595,0.165,0.298,0.5448,0.595,Jammu & Kashmir
387,67770202,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
388,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
389,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
390,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
407,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
408,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
409,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
410,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
411,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
412,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
417,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
418,67770209,0.866,0.8,0.595,0.495,0.298,0.6108,0.661,Jammu & Kashmir
419,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
420,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
421,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
422,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
479,67766102,0.932,0.8,0.298,0.665,1,0.739,0.719,Jammu & Kashmir
480,67766102,0.932,0.8,0.298,0.665,1,0.739,0.719,Jammu & Kashmir
499,67766206,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
500,67766206,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
501,67766206,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
502,67766206,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
503,67766207,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
504,67766207,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
505,67766207,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
506,67766207,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
507,67766208,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
508,67766208,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
509,67766208,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
510,67766208,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
511,67766209,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
512,67766209,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
513,67766209,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
514,67766209,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
571,67765210,0.132,0.4,0.595,0.165,0.598,0.378,0.3582,Jammu & Kashmir
572,67765210,0.132,0.4,0.595,0.165,0.598,0.378,0.3582,Jammu & Kashmir
573,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
574,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
575,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
576,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
577,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
578,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
579,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
584,67764201,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
585,67764201,0.866,0.8,0.595,0.495,1,0.7512,0.7312,Jammu & Kashmir
586,67764201,0.866,0.8,0.595,0.495,1,0.7512,0.7312,Jammu & Kashmir
587,67764201,0.866,0.8,0.595,0.495,1,0.7512,0.7312,Jammu & Kashmir
588,67764201,0.866,0.8,0.595,0.165,1,0.6852,0.6652,Jammu & Kashmir
662,67763203,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
663,67763203,0.266,0.4,0.595,0.165,1,0.4852,0.4252,Jammu & Kashmir
664,67763203,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
665,67763203,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
666,67763203,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
667,67763204,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
668,67763204,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
669,67763204,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
670,67763204,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
671,67763205,0.266,0.4,0.595,0.165,1,0.4852,0.4252,Jammu & Kashmir
672,67763205,0.266,0.4,0.595,0.165,1,0.4852,0.4252,Jammu & Kashmir
673,67763205,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
674,67763205,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
675,67763205,0.266,0.4,0.595,0.165,1,0.4852,0.4252,Jammu & Kashmir
676,67763205,0.266,0.4,0.595,0.165,1,0.4852,0.4252,Jammu & Kashmir
695,67763209,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
696,67763209,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
697,67763209,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
698,67763209,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
704,67761101,0.932,0.8,0.298,0.665,0.966,0.7322,0.7156,Jammu & Kashmir
705,67761101,0.932,0.8,0.298,0.495,0.966,0.6982,0.6816,Jammu & Kashmir
706,67761101,0.932,0.8,0.298,0.495,0.966,0.6982,0.6816,Jammu & Kashmir
715,67761202,0.866,0.8,0.298,0.83,0.966,0.752,0.7354,Jammu & Kashmir
716,67761202,0.866,0.8,0.298,0.83,0.966,0.752,0.7354,Jammu & Kashmir
717,67761202,0.866,0.8,0.298,0.66,0.966,0.718,0.7014,Jammu & Kashmir
718,67761202,0.866,0.8,0.298,0.66,0.966,0.718,0.7014,Jammu & Kashmir
719,67761202,0.866,0.8,0.298,0.83,0.966,0.752,0.7354,Jammu & Kashmir
720,67761202,0.866,0.8,0.298,0.83,0.966,0.752,0.7354,Jammu & Kashmir
721,67761202,0.866,0.8,0.298,0.66,0.966,0.718,0.7014,Jammu & Kashmir
722,67761202,0.866,0.8,0.298,0.66,0.966,0.718,0.7014,Jammu & Kashmir
723,67761202,0.866,0.8,0.298,0.66,0.966,0.718,0.7014,Jammu & Kashmir
724,67761202,0.866,0.8,0.298,0.83,0.966,0.752,0.7354,Jammu & Kashmir
726,67761202,0.866,0.8,0.298,0.33,0.966,0.652,0.6354,Jammu & Kashmir
758,67761209,0.866,0.8,0.298,0.495,0.966,0.685,0.6684,Jammu & Kashmir
759,67761209,0.866,0.8,0.298,0.495,0.966,0.685,0.6684,Jammu & Kashmir
760,67761209,0.866,0.8,0.298,0.495,0.966,0.685,0.6684,Jammu & Kashmir
761,67761209,0.866,0.8,0.298,0.495,0.966,0.685,0.6684,Jammu & Kashmir
762,67761209,0.866,0.8,0.298,0.495,0.966,0.685,0.6684,Jammu & Kashmir
763,67761209,0.866,0.8,0.298,0.165,0.966,0.619,0.6024,Jammu & Kashmir
1456,67759101,0.866,0.932,0.595,0.665,0.499,0.7114,0.7547,Jammu & Kashmir
1457,67759101,0.866,0.932,0.595,0.665,0.499,0.7114,0.7547,Jammu & Kashmir
1555,67750102,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
1556,67750102,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
1557,67750201,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1558,67750201,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1559,67750201,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1560,67750201,0.866,0.8,0.595,0.665,0.199,0.625,0.6851,Jammu & Kashmir
1561,67750202,0.866,0.532,0.595,0.165,0.199,0.4714,0.5047,Jammu & Kashmir
1562,67750202,0.866,0.532,0.595,0.165,0.199,0.4714,0.5047,Jammu & Kashmir
1563,67750202,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1564,67750202,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1566,67750202,0.866,0.532,0.595,0.665,0.199,0.5714,0.6047,Jammu & Kashmir
1567,67750203,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
1568,67750203,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1569,67750203,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1570,67750203,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1576,67750205,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1577,67750205,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1578,67750205,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1579,67750205,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1580,67750205,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1585,67750207,0.866,0.8,0.595,0.665,0.199,0.625,0.6851,Jammu & Kashmir
1586,67750207,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1587,67750207,0.866,0.8,0.595,0.665,0.199,0.625,0.6851,Jammu & Kashmir
1588,67750207,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1589,67750207,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1590,67750208,0.866,0.8,0.595,0.665,0.199,0.625,0.6851,Jammu & Kashmir
1591,67750208,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1593,67750208,0.866,0.8,0.595,0.165,0.199,0.525,0.5851,Jammu & Kashmir
1594,67750209,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1595,67750209,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1596,67750209,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1597,67750209,0.866,0.532,0.595,0.495,0.199,0.5374,0.5707,Jammu & Kashmir
1598,67750210,0.866,0.8,0.595,0.665,0.199,0.625,0.6851,Jammu & Kashmir
1599,67750210,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1600,67750210,0.866,0.8,0.595,0.495,0.199,0.591,0.6511,Jammu & Kashmir
1718,67746207,0.932,0.532,0.595,0.33,1,0.6778,0.631,Jammu & Kashmir
1719,67746207,0.932,0.532,0.595,0.33,1,0.6778,0.631,Jammu & Kashmir
1720,67746207,0.932,0.532,0.595,0.33,1,0.6778,0.631,Jammu & Kashmir
1739,67745101,0.866,0.4,0.595,0.33,0.199,0.478,0.4981,Jammu & Kashmir
1740,67745101,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1741,67745101,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1742,67745101,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1743,67745101,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
1744,67745102,0.866,0.4,0.595,0.33,0.499,0.538,0.5281,Jammu & Kashmir
1745,67745102,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1746,67745102,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1747,67745201,0.866,0.4,0.595,0.33,0.499,0.538,0.5281,Jammu & Kashmir
1748,67745201,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1749,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1750,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1751,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1752,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1753,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1754,67745201,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1755,67745202,0.866,0.4,0.595,0.33,0.499,0.538,0.5281,Jammu & Kashmir
1756,67745202,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1757,67745202,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1758,67745202,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1759,67745202,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1761,67745202,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1770,67745204,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
1771,67745204,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
1772,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1773,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1774,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1775,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1776,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1777,67745204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
1778,67745205,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1779,67745205,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1780,67745205,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1781,67745205,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1782,67745205,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1783,67745205,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1784,67745205,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1785,67745206,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1786,67745206,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1787,67745206,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1788,67745206,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1789,67745206,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1790,67745207,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1791,67745207,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1792,67745207,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1793,67745207,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1794,67745207,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1800,67745209,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1801,67745209,0.866,0.4,0.595,0.165,0.499,0.505,0.4951,Jammu & Kashmir
1802,67745209,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1803,67745209,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1804,67745209,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1805,67745209,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1806,67745209,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1807,67745210,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1808,67745210,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1809,67745210,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1810,67745210,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
1811,67745210,0.866,0.4,0.595,0.495,0.499,0.571,0.5611,Jammu & Kashmir
2085,67748207,0.866,0.532,0.298,0.665,1,0.6722,0.6254,Jammu & Kashmir
2086,67748207,0.866,0.532,0.298,0.495,1,0.6382,0.5914,Jammu & Kashmir
2087,67748207,0.866,0.532,0.298,0.495,1,0.6382,0.5914,Jammu & Kashmir
2088,67748207,0.866,0.532,0.298,0.495,1,0.6382,0.5914,Jammu & Kashmir
2089,67748207,0.866,0.532,0.298,0.495,1,0.6382,0.5914,Jammu & Kashmir
2246,67735204,0.066,0.8,0.595,0.495,1,0.5912,0.5712,Jammu & Kashmir
2247,67735204,0.066,0.8,0.595,0.165,1,0.5252,0.5052,Jammu & Kashmir
2248,67735204,0.066,0.8,0.595,0.495,1,0.5912,0.5712,Jammu & Kashmir
2249,67735204,0.066,0.8,0.595,0.665,1,0.6252,0.6052,Jammu & Kashmir
2250,67735204,0.066,0.8,0.595,0.495,1,0.5912,0.5712,Jammu & Kashmir
2251,67735204,0.066,0.8,0.595,0.495,1,0.5912,0.5712,Jammu & Kashmir
2801,67716205,0.866,0.4,0.298,0.495,1,0.6118,0.5518,Jammu & Kashmir
2802,67716205,0.866,0.4,0.298,0.495,1,0.6118,0.5518,Jammu & Kashmir
2803,67716205,0.866,0.4,0.298,0.495,1,0.6118,0.5518,Jammu & Kashmir
2804,67716205,0.866,0.4,0.298,0.165,1,0.5458,0.4858,Jammu & Kashmir
2805,67716205,0.866,0.4,0.298,0.165,1,0.5458,0.4858,Jammu & Kashmir
2959,67713101,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
2960,67713101,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
2961,67713101,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
2962,67713101,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
3258,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3259,67710201,0.266,0.8,0.298,0.33,1,0.5388,0.5188,Jammu & Kashmir
3260,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3261,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3262,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3263,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3264,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3265,67710201,0.266,0.8,0.298,0.83,1,0.6388,0.6188,Jammu & Kashmir
3266,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3267,67710201,0.266,0.8,0.298,0.33,1,0.5388,0.5188,Jammu & Kashmir
3269,67710201,0.266,0.8,0.298,0.66,1,0.6048,0.5848,Jammu & Kashmir
3270,67710201,0.266,0.8,0.298,0.83,1,0.6388,0.6188,Jammu & Kashmir
3271,67710201,0.266,0.8,0.298,0.83,1,0.6388,0.6188,Jammu & Kashmir
3272,67710201,0.266,0.8,0.298,0.83,1,0.6388,0.6188,Jammu & Kashmir
3747,67729201,0.132,0.532,0.595,0.495,1,0.5508,0.504,Jammu & Kashmir
3748,67729201,0.132,0.532,0.595,0.165,1,0.4848,0.438,Jammu & Kashmir
3749,67729201,0.132,0.532,0.595,0.495,1,0.5508,0.504,Jammu & Kashmir
3776,67729205,0.132,0.532,0.595,0.495,1,0.5508,0.504,Jammu & Kashmir
3777,67729205,0.132,0.532,0.595,0.165,1,0.4848,0.438,Jammu & Kashmir
3778,67729205,0.132,0.532,0.595,0.665,1,0.5848,0.538,Jammu & Kashmir
3779,67729205,0.132,0.532,0.595,0.495,1,0.5508,0.504,Jammu & Kashmir
3780,67729205,0.132,0.532,0.595,0.495,1,0.5508,0.504,Jammu & Kashmir
3781,67729205,0.132,0.532,0.595,0.665,1,0.5848,0.538,Jammu & Kashmir
3805,67729211,0.132,0.532,0.595,0.165,1,0.4848,0.438,Jammu & Kashmir
3806,67729211,0.132,0.532,0.595,0.165,1,0.4848,0.438,Jammu & Kashmir
3807,67729211,0.132,0.532,0.595,0.665,1,0.5848,0.538,Jammu & Kashmir
3808,67729211,0.132,0.532,0.595,0.665,1,0.5848,0.538,Jammu & Kashmir
3809,67729211,0.132,0.532,0.595,0.665,1,0.5848,0.538,Jammu & Kashmir
3810,67729212,0.732,0.532,0.595,0.165,1,0.6048,0.558,Jammu & Kashmir
3811,67729212,0.732,0.532,0.595,0.165,1,0.6048,0.558,Jammu & Kashmir
3812,67729212,0.732,0.532,0.595,0.495,1,0.6708,0.624,Jammu & Kashmir
3813,67729212,0.732,0.532,0.595,0.495,1,0.6708,0.624,Jammu & Kashmir
3814,67729212,0.732,0.532,0.595,0.495,1,0.6708,0.624,Jammu & Kashmir
3815,67729212,0.732,0.532,0.595,0.495,1,0.6708,0.624,Jammu & Kashmir
3816,67729212,0.732,0.532,0.595,0.495,1,0.6708,0.624,Jammu & Kashmir
3843,67720205,0.732,0.132,0.595,0,0.7,0.4318,0.375,Jammu & Kashmir
4083,67784101,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4085,67784101,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4086,67784102,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4087,67784102,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4088,67784102,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4089,67784201,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4090,67784201,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4091,67784201,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4093,67784202,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4094,67784202,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4095,67784202,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4096,67784202,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4097,67784202,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4098,67784202,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4099,67784202,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4100,67784203,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4101,67784203,0.732,0.4,0.595,0.165,0.199,0.4182,0.4383,Jammu & Kashmir
4102,67784203,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4103,67784203,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4104,67784203,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4105,67784203,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4106,67784203,0.732,0.4,0.595,0.495,0.199,0.4842,0.5043,Jammu & Kashmir
4107,67784204,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4108,67784204,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4109,67784204,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4110,67784204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4111,67784204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4112,67784204,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4113,67784204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4115,67784204,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4116,67784204,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4117,67784204,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4118,67784205,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4119,67784205,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4120,67784205,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4121,67784205,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4122,67784205,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4123,67784205,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4124,67784205,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4125,67784205,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
4127,67784206,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4128,67784206,0.866,0.4,0.595,0.165,0.199,0.445,0.4651,Jammu & Kashmir
4129,67784206,0.866,0.4,0.595,0.665,0.199,0.545,0.5651,Jammu & Kashmir
4130,67784206,0.866,0.4,0.595,0.495,0.199,0.511,0.5311,Jammu & Kashmir
